"Производство электроэнергии в Украине","Государственная служба статистики Украины: в 1 квартале сократилось производство электроэнергии ",180e7625f508a451d61ca59cecd0ebaf.txt,http://rbc.ua,336,"Новости Украины",04a3d477cf800219ed0070036f63956c.jpeg,403,"2014-04-22 14:38:02","производство электроэнергии|Государственная служба статистики Украины"
"Дизайн детской комнаты для девочки","Ремонт детской комнаты: идеи дизайна и фото",2f26ce7dc7a43e2dfe5c86d799a425a2.txt,http://lubimyjdom.ru/,2939,"Дизайн;Своими руками;Интересные идеи",52c58bee485afd5114798cfde97a3da8.jpeg,404,"2014-04-23 02:13:31","дизайн детской комнаты|детская комната для девочки фото|интерьер детской комнаты для девочки|ремонт детской комнаты"
"Новости от «Топаза»: ультрафиолетовая обработка","«Топаз» использует нанотехнологии будущего и готовит гибкие дисплеи",41e74c612881e13f69bc19f0bfae1d1c.txt,http://www.lightrussia.ru,276,"Освещение;Новости мира;Новости Украины;Новые технологии",89c9efe624af87072aa8f4c20c3566c4.jpeg,405,"2014-04-24 13:26:23","Топаз|наноструктуры|ЭксиФлай|нанотехнологии будущего|лифт-офф|гибкие дисплеи|ультрафиолетовая обработка|новости от Топаза"
"Флуоресцентные обои и 3D обои для стен","Эксклюзивные обои: достоинства и недостатки",894bdce280f01999cac7107c1f9b0c74.txt,http://www.berlintapete.de/,423,"Дизайн;Интересные идеи;Своими руками;Новые технологии",78f787b239a35e9de1d9a7a8ec080852.jpg,406,"2014-04-25 02:51:36","флуоресцентные обои|3D обои для стен|эксклюзивные обои"
"3D-технологии строительства ","В Китае стали использовать 3D-технологии для ускоренного строительства домов",7f9c92b78e3ead5be66075aa7cd8a482.txt,http://www.xinhuanet.com,245,"Новости мира;Интересные идеи",547be950fd64305a5dc388ff63345d4b.jpeg,407,"2014-04-28 10:32:23","3D-технологии|3D-принтер|Цифровые технологии|ускоренное строительство"
"Итальянская сантехника в интернет магазине","Купить элитную сантехнику выгоднее, чем дешевые подделки",727311a221633efb5562bc2d0ad53775.txt,http://webert.it/,214,"Интересные идеи;Дизайн;Сантехника",2ca493892d781b2cc14707fd4f48ec84.jpg,408,"2014-04-29 14:03:52","Итальянская сантехника в интернет магазине|Купить элитную сантехнику|магазин сантехники в Украине|купить в интернет сантехнику|купить итальянскую сантехнику в интернет|дизайн ванной комнаты"
"Компания Philips хочет осветить весь мир","Компания Philips стала главным партнером Международного года света-2015 и вошла в состав руководящего комитета",3405db3a0dba5735ab2ab16ad665327e.txt,http://www.philips.ua/,182,"Новости мира;Энергосбережение",29deacca119bf53476de307c34b42ccb.jpeg,409,"2014-04-30 13:51:48","международный год света|год света 2015|Компания Philips|Светодиодные технологии|энергоэффективное освещение|системы управления светом"
"Налог на недвижимость в Украине изменился","Расчет налога на недвижимость: разъяснения налоговой",132e61049316005fc34b6d4072cc198f.txt,ligazakon.ua,170,"Новости Украины",36a41d365281b221ca222c817f1143b6.jpeg,410,"2014-05-05 13:15:28","Налог на недвижимость в Украине|расчет налога на недвижимость"
"Как клеить обои на гипсокартон","Поклейка обоев на гипсокартон: практические рекомендации",dbcd5c5d298ab90a6879ca6751922172.txt,"http://www.ceresit.ua/, http://www.makita.ua/",159,"Советы мастеров;Своими руками",25820e7d08bba6d87f17fec13ea8c958.jpeg,411,"2014-05-06 01:03:44",": Поклейка обоев на гипсокартон|клеить обои на гипсокартон|Перед поклейкой обоев|подготовка стен к поклейке обоев|Как шпатлевать гипсокартон"
"Косметический ремонт квартиры: основные правила","Как сделать ремонт недорого? ",83272d1c1b9da28c8667d0010d70102c.txt,"http://gost.kiev.ua/  ",265,"Советы мастеров;Своими руками",deb0c74f51fe14e1202255b0ef2ae105.jpeg,412,"2014-05-07 01:40:24","Как сделать ремонт недорого|Косметический ремонт квартир|Косметический ремонт комнаты|сделать косметический ремонт|Недорогой косметический ремонт"
"Энергоэффективный дом","Первый энергоэффективный дом построен в городе Грязи Липецкой области. ",7c397790ea12e5cdf693cbfeaee14261.txt,http://ria.ru/economy/20140505/1006607197.html,182,"Новости мира;Энергосбережение",a366a99553f8d8dbc3dd7ed9c52fec42.jpeg,413,"2014-05-08 10:16:01","энергоэффективный дом|экономный дом"
"Солнечные электростанции на воде","Солнечные электростанции будут плавающими",579d88a678d319b2900d0bc7e69ab4e2.txt,http://cikavosti.com/sonyachni-elektrostantsiyi-buduvatimut-na-vodi/,163,"Энергосбережение;Новости мира",d020bb76f56fd01e0b0ff7c0bba748a1.jpeg,414,"2014-05-12 18:08:42","плавающая электростанция|Солнечная электростанция|электростанция на воде"
"Недорогой качественный ремонт","Как сделать недорогой и красивый ремонт? ",1bd98cb46b141cd637031b1e70642a72.txt,"http://vopros-remont.ru/ ",296,"Советы мастеров;Своими руками;Отделочные материалы;Материалы",bed0c86c33f527dfe311a80cb75603ff.jpeg,415,"2014-05-13 01:41:26","Недорогой качественный ремонт|косметический ремонт своими руками|косметический ремонт недорого|Недорогой и красивый ремонт|ремонт квартиры дизайн"
"LEDambient: беспроводное освещение автомобиля","Компания OSRAM предлагает решение для индивидуализации интерьера автомобиля – светодиодные модули LEDambient",ea8965b6b6f20147b95622af0641c298.txt,"http://www.osram.ru/ ",213,"Новости мира",d6d35e53de2bc0d831dc33f80faaf691.jpeg,416,"2014-05-16 13:15:47","освещение автомобиля|Компания OSRAM|светодиодные модули|LEDambient|модули подсветки"
"Темпы строительства жилья в Украине","В Украине строительство жилых домов в этом году выросло на 6%.",15a10fd1ce41366a710c1fc824e54f60.txt,www.ukrstat.gov.ua/,182,"Новости Украины",8c1b75a1315ae7debdc6060c59cb0637.jpeg,417,"2014-05-19 00:33:00","темпы строительства жилья|строительство жилых домов|строительство недвижимости|строительство в украине|жилищное строительство"
"Оригинальный ремонт и декоративная отделка стен ","Как сделать отделку стен своими руками?",175cb12f1ed588b5194f949550b24149.txt,http://subscribe.ru/,364,"Советы мастеров;Дизайн;Интересные идеи",6acf9e062478cee4fd2d07558c1cdae9.jpg,418,"2014-05-20 03:57:49","Внутренняя декоративная отделка стен|отделку стен своими руками|виды отделки стен|Окрашивание стен|современная  отделка стен"
"Система наружного освещения в Харькове станет лучше","Департамент коммунального хозяйства совершенствует систему наружного освещения",3d340351fdbdaa4057d1d3bf4d3f26bc.txt,http://vecherniy.kharkov.ua,165,"Новости Украины",63ccf71e336e07e364cafa87dcbd5d20.jpeg,419,"2014-05-22 12:57:07","Виктор Китанин|Департамент коммунального хозяйства|Система наружного освещения|программа энергосбережения"
"Как сделать декоративный фонтан ","Садовые фонтаны – как раз то, что нужно для приятного отдыха в саду или на даче.",61441ee41c8ea3e6014cdd675300afe1.txt,http://mydiz.ru/,237,"Дизайн;Советы мастеров",6dff37d17d82170c9c8095e98795fb6d.jpg,420,"2014-05-23 02:30:30","сделать декоративный фонтан|декоративный фонтан|фонтаны для сада|фонтаны для дачи|как сделать фонтан своими руками"
"Жилищное строительство 2014 и классификация жилья","Новая классификация рынка недвижимости появилась в жилищном строительстве",97ea2d4ddc03f858dd1e201304ccea3f.txt,http://ubr.ua/finances/banking-sector/nbu-obiazal-banki-dokladyvat-ob-operaciiah-klientov-294944,169,"Новости Украины",53c5580fb50a95231ce2ec6e5e2b2c7f.jpeg,421,"2014-05-26 12:49:31","классификация жилья|классификации рынка недвижимости|жилищное строительство 2014"
"Освещение для магазина","Торговое освещение помогает увеличить продажи: выбирайте правильное освещение для магазина",bd995464dbb040d01f02d5b1928fc1a2.txt,http://www.merchandising.by/articles/articles-01.html,158,Освещение;Дизайн,606dc3838c9ae57f6956b6ac9df3cc07.jpg,422,"2014-05-28 08:39:13","Освещение для магазина|торговое освещение|энергосберегающее освещение|точечное освещение|местное освещение"
"Система управления Умный дом от Apple ","Новости Apple: разработка системы управления домом ",d38f2a93e84b9a0f64df1f76fc2697cb.txt,http://podrobnosti.ua/technologies/2014/05/27/977876.html,154,"Новости мира",c1efbd785e0b597531ed3d50d673f8e1.jpeg,423,"2014-05-30 02:37:04","Worldwide Developers Conference|Smart Home|новое приложение Apple|Apple TV|новости Apple"
"Дизайн комнаты для подростка","Стильные идеи для комнаты подростка + фото",4f50ec39e89a141ff4ef6ec1f52e2bb9.txt,"http://www.stroyportal.ru/ ",374,"Дизайн;Интересные идеи",7135c39c7fd749dfc024a4687c1f00ea.jpg,424,"2014-05-30 05:38:38","Идеи для комнаты подростка|дизайн комнаты для подростка|ремонт комнаты для подростка|комната для подростка фото|стиль комнаты для подростка|дизайн комнаты для подростка фото"
"Энергосберегающая светодиодная лампа в виде лампы накаливания","LED-лампа будет выглядеть как электрическая лампа накаливания",fcc5ec4187f2bf7995e6fa69d2fbd2e5.txt,http://tusur.ru/,111,"Энергосбережение;Новости мира",6bc610fa96698a2a2d40849271bd7f85.jpeg,425,"2014-06-02 12:37:51","энергосберегающая светодиодная лампа|электрическая лампы накаливания|LED-лампа"
"Покраска обоев или как обновить обои","Можно ли покрасить обои? Не повредит ли покраска обоев их внешнему виду?",4ca0f8bdc6e0452753991395ebe19e17.txt,http://vopros-remont.ru/steny/mozhno-li-krasit-vinilovye-i-flizelinovye-oboi/,189,"Дизайн;Советы мастеров;Своими руками",a9c8360a37540fad0fa67f6694eb9396.jpg,426,"2014-06-02 23:31:01","как покрасить обои|обновить обои|виниловые обои|покраска обоев|обновить ремонт|флизелиновые обои"
"Органический светодиод  с флуоресцентными материалами","В университете Кюсю создали новый светодиод - флуоресцентный OLED со стопроцентной внутренней квантовой эффективностью",05ea993545e6503eaaff2d26383ae47a.txt,http://techon.nikkeibp.co.jp,127,"Новости мира;Новые технологии",78899f67a3d9d899251608572f08a7d1.jpg,427,"2014-06-05 13:22:17","Флуоресцентные материалы|TADF|светоизлучающие материалы|квантовая эффективность|OLED-устройства|университет Кюсю"
"Как увеличить продажи в магазине","Правильное освещение  позволит быстро увеличить продажи в магазине на 30%",47d210fe7cd57e053e85581bfd7f256f.txt,"http://svet.arcos.by/3/shops/ ",177,Освещение;Дизайн,aadb55944ba3f6c442fe7a43358cd895.jpg,428,"2014-06-06 03:28:54","освещение магазина|освещение торгового зала|как увеличить продажи в магазине"
"Повышение тарифов в Украине","Повышение энергоэффективности и достижение энегонезависимости – один из ключевых приоритетов для Украины.",25cb9f9725a09d5d3c1b52de72e37f60.txt,http://www.minregion.gov.ua/news/energonezalezhnist--pitannya-nacionalnoyi-bezpeki-dlya-ukrayini--vo,123,"Новости Украины",9a010608325d7bce936cbb6cdc15b711.jpeg,429,"2014-06-09 06:35:22","повышение тарифов в Украине|энергонезависимость|повышение энергоэффективности"
"Светильники для натяжного потолка","Как выбрать светильники, люстры и подсветку для натяжного потолка?",1e0f92165b19e0bae38a6d3806cca559.txt,"http://strport.ru/ ",330,Освещение;Дизайн,6e8dcf687a369c33bce998db14cafcdf.jpg,430,"2014-06-10 02:06:46","светильники для натяжного потолка|люстра для натяжного потолка|светодиодная подсветка натяжного потолка|точечные светильники для натяжных потолков"
"Система умный дом от Apple","Новости Apple: iPhone обеспечит безопасность жилища и управление электроникой",3d2843375ede885f2a04ba3e4599560b.txt,http://security.ua/news/industry/foreign/index.php?ELEMENT_ID=8822,168,"Новости мира",08e15f3f3556c1f242bf2b77e1da2f72.jpeg,431,"2014-06-13 05:52:14","новости Apple|HomeKit|iBeacon|безопасность жилища|система умный дом|SDK для iOS|управление электроникой|Компания Apple"
"Экономия энергоресурсов – как снизить потребление газа","Отключение российского газа ускорит внедрение энергосберегающих технологий для снижения энергопотребления",40d2c7882506d97f2eddfbdf4adba620.txt,http://vecherniy.kharkov.ua/news/93356/,130,"Новости Украины",599733db22cc5c03f07d237433f8f67a.jpeg,432,"2014-06-16 00:08:47","Экономия энергоресурсов|снизить потребление газа|Отключение российского газа|оплата долга Газпрому|Василий Хома|снижение энергопотребления"
"Мини бассейн или спа-ванна: что лучше","Что лучше установить на даче или в саду: спа-бассейн или спа-ванну?",34591e8a8cd26c571a90370b8fbc2cec.txt,http://www.ukrvortex.com/,174,"Интересные идеи;Советы мастеров",ffa8168312dfdc11b38e201d87c88403.jpg,433,"2014-06-17 00:19:24",спа-бассейны|мини-бассейны|спа-ванна
"Акриловая краска: характеристики и достоинства","В статье: как выбрать, где купить акриловые краски и сферы применения акриловых красок.",65c29c41ef2d721e2d48fcdf988cbf31.txt,http://www.ceresit.ua/ru/,236,"Советы мастеров;Материалы;Отделочные материалы",06315f1c59c0f2626554cc78f317e30a.jpeg,434,"2014-06-19 00:59:43","акриловая краска характеристики|покраска акриловой краской|водно дисперсионная акриловая краска|купить акриловые краски в Украине|Акриловая краска Ceresit"
"Светильник-трансформер и 3D-печать","Светодиодный светильник-трансформер сделали на 3D-принтере",7d6dd55940b5a26c2d77bc4c2096e0c5.txt,http://www.lightrussia.ru/news/?id=107630,167,"Новости мира;Новые технологии",ff4d17f9238cdd4606cfb703215d4490.jpg,435,"2014-06-20 00:08:23","светильник-трансформер|3D-принтер|3D-печать|технология трехмерной печати|умный материал|Умные светильники"
"Подсветка для сумок Kangaroo","Портативный светильник Kangaroo от STUDIO BANANA",e46d7a38bbed67a059ea97053a70d29b.txt,http://www.illumni.co/kangaroo-light-studio-banana/,158,"Новости мира;Освещение",07a78c8670225f7c8a8e86c9d210508b.jpg,436,"2014-06-23 12:21:37","подсветка для сумок|Kangaroo|STUDIO BANANA|портативный светильник|силиконовый светильник|фонарик светодиодный"
"Отделка декоративной штукатуркой: виды и фактуры","Способы нанесения декоративной штукатурки требуют специальной подготовки поверхности",65012213bc9faeed2c2f995bc79d11b9.txt,http://www.ceresit-pro.biz/otdelka-materia/decorative.html,226,"Советы мастеров;Материалы",7299468d61a8cdba77b4e487235585b3.jpg,437,"2014-06-24 00:14:20","Отделка декоративной штукатуркой|декоративные штукатурки фасадные|Виды декоративной штукатурки|декоративные штукатурки Ceresit|Декоративная штукатурка «короед»|Как сделать декоративную штукатурку|Способы декоративной штукатурки"
"Перепланировка жилых помещений станет проще","Согласование перепланировки помещений упрощается. Читайте подробнее о перепланировке помещений",67a9da362bdee256e88a9df91035801c.txt,http://www.unian.net/society/933032-kabmin-uprostil-poryadok-pereplanirovki-jilyih-pomescheniy.html,163,"Новости Украины",e316e7de51a7a19fdffc9a5447318379.jpeg,438,"2014-06-26 12:02:32","перепланировка жилых помещений|перепланировка помещений|согласование перепланировки помещений|Минрегионстрой"
"Декоративная штукатурка дома","Как наносить декоративную штукатурку: технолгия и правила",01a5f9e0f15150cda72db4c3508d2cc6.txt,"http://www.ceresit.ua/ ",144,"Советы мастеров;Своими руками;Отделочные материалы",faab9b7f9f7ee83b88e7e009bc2fc3d1.jpg,439,"2014-06-30 04:23:35","штукатурка декоративная фасадная|декоративная штукатурка наружная|декоративная штукатурка дома|нанесение декоративной штукатурки|технология декоративной штукатурки"
"Экологическая батарейка от американских ученых","Предназначенная для использования на электростанциях, батарея может сделать энергетическую систему более устойчивой и эффективной",3068bc6e01d3b1b8a92b8a49c94c509c.txt,https://news.usc.edu/64612/usc-scientists-plug-in-to-a-new-battery-thats-cheap-clean-rechargeable-an,115,"Новости мира",e514a28b0dd924321d56d5bf30cbacd4.jpeg,440,"2014-07-02 15:49:05","Экологическая батарейка|органический аккумулятор|университет Южной Калифорнии"
"Деревянный светильник Woodspot","В Италии разработан промышленный образец деревянной настольной лампы Woodspot.",e62f7847f4b78746fbb11210366534be.txt,www.alessandrozambelli.it,115,"Новости мира",b573ec9da6573c7ad6a5663b7538f096.jpg,441,"2014-07-03 02:30:17","Деревянный светильник|Woodspot|Maison&Objet в Париже|Рене Магритт|Алессандро Замбелли"
"Нанесение декоративной штукатурки в интерьере","Декоративная штукатурка в интерьере: фото и технология выполнения работ",20d7b97c365ee389ac819cfbe096bce3.txt,http://www.ceresit.ua/,166,"Дизайн;Советы мастеров;Материалы",aa090791905710728ced9fe61c149def.jpg,442,"2014-07-04 15:47:49","нанесение декоративной штукатурки|технология нанесения декоративной штукатурки|декоративная штукатурка в интерьере|декоративная штукатурка фото"
"Возврат недвижимости упрощается","Право собственности на недвижимость подтвердить будет легче",5e63ac593e0cf7398305a2861269732f.txt,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=51474,102,"Новости Украины",6a92199dbe215b2e07044e9f44348091.jpeg,443,"2014-07-07 00:24:24","возврат недвижимости|виндикация имущества|право собственности на недвижимость|изменения в Гражданский кодекс|Александр Фельдман"
"Классификация и характеристики сверлильных станков","Сверлильные станки: технические характеристики и модели",a275bbaf40429349f194d0e490a335dc.txt,"www.autowelding.ru ",129,"Советы мастеров",d09be0ab3740b1472fe9f1393e193196.jpg,444,"2014-07-08 03:22:55","характеристики сверлильных станков|сверлильный станок купить|станок вертикально сверлильный|сверлильный станок цена|модели сверлильных станков"
"Новости Philips: создание светотехнической компании","Масштабное укрупнение компании Philips, интеграция с Lumileds и Automotive",ee502c2106c88ff34b6a551d97b32c2f.txt,lightrussia.ru/,103,"Новости мира",36a355da8129f18deb7e6a6095eefbff.jpg,445,"2014-07-10 11:15:40","Новости Philips|Lumileds|Automotive|автомобильная оптика"
"Проникающая гидроизоляция","Гидроизоляция проникающего действия незаменима при защите пола и стен подвальных помещений.",94dfff77965a9e0afa7e1acf3fa7a1c4.txt,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0%D1%8E%D1%89%D0%B0%D1%8F_%D0%,114,"Советы мастеров;Материалы",65db4e6d8a12888c2abffdcfe81921ee.jpg,446,"2014-07-11 16:26:35","проникающая гидроизоляция|гидроизоляция КТтрон|гидроизоляция проникающего действия|гидроизоляция бетона"
"Переработка отходов и осадки сточных вод","Харьковводоканал планирует получать электроэнергию из канализационного осадка",0dbea6b60b319377a91a86669d5fb3bd.txt,http://dozor.kharkov.ua/news/nauka/1152331.html,116,"Новости Украины",72370346cf945accd8cdb9dc3a448b4d.jpg,447,"2014-07-14 18:12:42","переработка отходов|Харьковводоканал|биогаз|осадки сточных вод"
"Сверление отверстий","Существует несколько методов сверления отверстий: по разметке и по кондуктору",568fc6b775df79c398fc5a0f5902b1a7.txt,http://www.autowelding.ru/,118,"Советы мастеров;Электроинструмент",83d16ca098290886a5e8706298a0a041.jpg,448,"2014-07-15 22:00:03","сверление отверстий|алмазное сверление отверстий|сверление отверстий в бетоне|кондуктор для сверления отверстий"
"Новые тарифы на коммунальные услуги","Новые тарифы на холодную воду: в пять раз выше",8e6396797fa18c555de4a4dcbaf0765e.txt,http://vecherniy.kharkov.ua,61,"Новости Украины",65e21b5710b7d0df96c1d415c985705d.jpg,449,"2014-07-17 18:54:36","новые тарифы Украина|Харьковводоканал|тарифы на коммунальные услуги"
"Бензиновый генератор: какой лучше","Как выбрать бензиновый генератор и рассчитать необходимую мощность?",f0ed9d95a1263eb4020346799713a851.txt,http://www.websadovod.ru/generator/,163,"Советы мастеров",edf60c0f3ce82687c6a1b5cb5428cfe6.jpg,450,"2014-07-17 21:02:31","купить генератор бензиновый|генераторы бензиновые цены|лучший бензиновый генератор|выбрать бензиновый генератор|бензиновый генератор какой лучше"
"Работа с бензопилой","Эксплуатация бензопилы должна производиться в соответствии с правилами техники безопасности и инструкцией по эксплуатации",4fbbb5a7ab1665496cc20c2e930c5f29.txt,http://www.websadovod.ru/chainsaw/06.htm,112,"Электроинструмент;Советы мастеров;Садовый инструмент",736d8e9021a8b2d7f0404558f32aebcd.jpg,452,"2014-07-22 22:27:17","Работа с бензопилой|эксплуатация бензопилы|Инструкция по эксплуатации бензопилы|бензопила инструкция"
"Возобновляемые источники энергии: кто больше ","Альтернативная энергетика дает 84% в производстве электроэнергии страны. Какая страна лидер во всем мире?",0359958c6f2ea60536cb279cab59e686.txt,http://greenevolution.ru/2014/07/23/urugvaj-vyshel-v-lidery-po-vie/,61,"Энергосбережение;Новости мира;Альтернативная энергетика",09f1f1cc419d27023be91627d09372f8.jpg,453,"2014-07-24 05:38:29","альтернативная энергетика|возобновляемые источники энергии|производство электроэнергии|тарифы на электроэнергию"
"Магнитные замки на межкомнатные двери","Почему выгодно купить магнитный замок на межкомнатные двери?",ad61faa315aa0f5fa2cd493d7cf49b4c.txt,http://remo-blog.ru/,174,Замки,629f062139f1020ae9f6c5dbc4f84a3c.jpg,454,"2014-07-27 20:28:32","магнитные замки на межкомнатные двери|магнитный замок|межкомнатные магнитные замки|магнитные замки на двери|купить магнитный замок"
"Светодиодные лампы Verbatim","Verbatim: расширение линейки светодиодных ламп",045cf7f7fee3d1be1692359b12bdac0d.txt,http://www.verbatim-europe.com,50,"Новости мира;Энергосбережение",b22d335cc19660db9de7896c6b46df0e.jpg,455,"2014-07-28 21:56:29","Светодиодные лампы|Verbatim|встраиваемые точечные светильники|встраиваемые потолочные светильники"
"Экономия энергоресурсов","Основы энергосбережения не просто полезно знать, но и выгодно. Энергосберегающие технологии позволят экономить в быту и на производстве.",53d34d22b344a23bbfaa07ec91382f01.txt,http://www.energosovet.ru/,99,"Энергосбережение;Интересные идеи",c698584302f7b0f613db402fc998df18.jpg,457,"2014-08-01 16:06:21","энергосберегающие технологии|экономия энергоресурсов|основы энергосбережения|энергоэффективный дом|энергосберегающий дом"
"Летний душ для дачи своими руками","Как построить летний душ своими руками Вы узнаете в статье: читайте часть 1 и продолжение.",0805ba6a7831aa74cd5e99b241109d33.txt,http://prostostroy.com/,115,"Советы мастеров;Своими руками;Интересные идеи",86ddbe051f47f7d799888a8040768f11.jpg,458,"2014-08-04 14:31:55","Летний душ для дачи|как построить летний душ|построить летний душ своими руками"
"Навигационная технология от компании Philips ","Инновационные технологии Philips: планшет для навигации в музее",b64016978de54304f0397260a2a0b823.txt,http://www.newscenter.philips.com,50,"Новые технологии;Новости мира",83c5405a5eda9a9bb5b4158277733e16.jpg,459,"2014-08-05 11:56:50","навигационная технология|компания Philips|планшет для навигации|инновационные технологии"
"Уличное освещение Харькова","Уровень освещенности Харькова по данным Департамента коммунального хозяйства составил 92,1%.",3f6ea32f9dc67a529960cfd5935251a2.txt,http://www.city.kharkov.ua/ru/news/-24908.html,46,"Новости Украины",102a8352580378a45cd02464d83330a6.jpg,460,"2014-08-07 11:25:46","освещенность Харькова|уличное освещение|Департамент коммунального хозяйства"
"Сапфиры для производства светодиодов","В компании Rokor планируют выращивать монокристаллы и производить сапфиры для светодиодов",fa6c6fa7964fde389446c2ae0a0231ec.txt,http://ru.delfi.lt/news/economy/v-litve-nachnet-razvivatsya-novaya-dlya-litvy-sfera-biznesa.d?id=654,45,"Новости мира",0581ce972132d1c3966c53d172ee5acd.jpg,461,"2014-08-11 11:38:40","промышленные сапфиры|сапфиры для светодиодов|производство светодиодов|Rokor|выращивание монокристаллов"
"Как сделать душ на даче (продолжение)","Как построить летний душ на даче своими руками: практическое руководство",bd987853250864bd8441ad769f5d62a2.txt,,57,"Советы мастеров;Своими руками",30e2c48cbca3990a46a343f621463be2.jpg,462,"2014-08-12 01:24:02","сделать душ на даче|построить летний душ на даче|недорогой душ для дачи|летний душ фото"
"Электрические обогреватели и водонагреватели в Украине","Переход населения на электрообогрев требует согласования в Минрегион Украины",89d51270539ad6682cb7d0215fcf6619.txt,http://interfax.com.ua/news/economic/218052.html,51,"Новости Украины",183b066881c20cfd51811e36137b2241.jpg,463,"2014-08-14 13:29:44","Электрические обогреватели|водонагреватели в Украине|электрообогрев"
"Водонагреватель: какой лучше купить","Какой водонагреватель выбрать: 
Проточный или накопительный? 
Газовый или электрический?",6ca5826dbd733b5df09ebf2a649a0a8c.txt,"http://boyler.org.ua ",82,"Советы мастеров",2634abe4585282e364cb7a8f7c484e0a.jpg,464,"2014-08-14 20:54:49","водонагреватель какой лучше|какой водонагреватель выбрать|водонагреватель проточный как выбрать|как выбрать водонагреватель накопительный"
"Световая система CoeLux","Разработана световая система, аналогичная солнечному свету",d781b015476a26c59a239a6abfbad341.txt,http://www.oknamedia.ru/,65,"Новости мира",45946b25390a76d54115f43d926f4661.jpg,465,"2014-08-18 11:38:40","помещения без окон|световая система|светотерапия|CoeLux"
"Какой объем водонагревателя выбрать? ","Какой бойлер купить, с учетом необходимого объема водонагревателя? ",221ae2c6c73a43e55f66f6ba515f6452.txt,http://boyler.org.ua,48,"Советы мастеров",e4ca103f68cfc35f013c2b2d45459a64.jpg,466,"2014-08-20 15:31:54","объем водонагревателя|какой бойлер лучше|достоинства водонагревателя|недостатки водонагревателя|где установить водонагреватель"
"Прогнозы цен на недвижимость","Вырастут или снизятся цены на недвижимость в 2014 году?",3ebfc42915d05382673ae0db91b3b7a4.txt,"http://100realty.ua/news/23831 ",41,"Новости Украины",e4fb2a0f3817c260ff215838077af2c5.png,467,"2014-08-21 13:55:12","Рынок недвижимости 2014|цены на недвижимость в 2014|прогнозы цен на недвижимость|жилье в Украине"
"Оценка недвижимости в Украине","Правительство Украины утвердило бесплатную оценку недвижимости в нашей стране",00e508e9bfe3061239a6da9db3c4d8a8.txt,http://realt.rbc.ua/rus/kabmin-otmenil-monopoliyu-na-rynke-otsenochnoy-deyatelnosti--21082014153400,37,"Новости Украины",196513948ee741f07be82968e50014ba.jpg,468,"2014-08-26 10:04:13","Оценка недвижимости в Украине|бесплатная оценка недвижимости"
"Новые технологии строительства в Украине","Харьковские застройщики задумываются об применении новых строительных технологий – об этом сказал главный архитектор Харьковской области.",4deace6697af2d0928271103d6ca21be.txt,http://stroyobzor.ua/news/87155,73,"Новости Украины",085a77174f4b434ae06c5ea206f1a7b4.jpg,469,"2014-08-29 10:23:27","Новые строительные технологии|технологии строительства Харьков|главный архитектор Харьковской области"
"Солнечные аккумуляторы на окнах","Зарядное устройство на солнечных батареях теперь может работать у Вас в комнате.",d82464603aa0c2cf799295d14350b11e.txt,http://greenevolution.ru/2014/08/29/okno-kak-zaryadnoe-ustrojstvo/,60,"Новости мира",10491455a0e1cb8fff3fe7f67e5cd07c.jpg,470,"2014-09-02 16:24:25","зарядное устройство на солнечных батареях|солнечные аккумуляторы"
"Как утеплить стены снаружи?","Утепление дома поможет сохранить около  40 % тепла. Как правильно утеплять стены? Какие материалы для утепления лучше? ",03901f71ed79c5e8f313c7b8db55cf61.txt,http://termdom.ru,87,"Энергосбережение;Советы мастеров",96accff692402a7eff32be66f8f9fa1c.jpeg,471,"2014-09-03 06:35:23","как правильно утеплять стены|как утеплить стены снаружи|чем лучше утеплять стены"
"LED-площадка от компании Nike","Компания Nike построила для китайских баскетболистов светодиодную smart-площадку",28b7d48df49a17ac1ac04a71033501f8.txt,http://sumrakoff.ru/news/news-173,62,"Новости мира;Новые технологии",972f6d378e48079aca33134937e8fb8a.jpg,472,"2014-09-04 11:09:44","smart-площадка|тренировочный центр Nike|LED-площадка|компания Nike"
"Технология утепления стен: пошаговая инструкция","Технология утепления наружных стен аналогична технологии термоизоляции различных перегородок и стен, выходящих в подъезд",309f93faa3d79191b631fa7fd26cdb48.txt,http://indeal.ru/,47,"Энергосбережение;Советы мастеров;Своими руками",a2c9f2436a5401520b38eefca72be7c6.jpg,473,"2014-09-05 06:01:33","технология утепления стен|пошаговая инструкция утепления стен|технология утепления наружных стен|последовательность утепления стен|материалы для утепления стен"
"Застройщики Киева и строительство социальных объектов","Лицензии на строительство дадут тем, кто будет проводить строительство социальных объектов.",500a8397187db1d95095cbddb52211ab.txt,http://gazeta.ua/ru/articles/real-estate/_zastrojschikov-obyazhut-vnachale-stroit-socialnye-ob-ekty/,51,"Новости Украины",a2c7fd1be92989cee396c2d77fe8cd99.jpg,474,"2014-09-08 14:45:45","строительство социальных объектов|застройщики Киева|разрешение на строительство|предоставление земельных участков|лицензии на строительство"
